Plot,Location,Lat,Lon,Elevation,AspectRC,Slope,Terrain,Streamd,Herb,Shrub,Litter,TreeBA,ACSA,LITU,QUPR,TSCA,pH,OM,Ca,Mg,P,K,N,SoilSand,ACRA,ARTR,CATH,CHMA,DILA,GALA,GEMA,LISU,POBI,SACA,THDI,TRGR,UVGR,VIRO
NF212,NorthFork,377596.87,3963302.2,1171.08,6,25,9,120,26.9,25.5,2.2,15222,0.0196,0.0425,0.4952,0,4.7,10.2,71,44,3,69,0.23,0.52,0,0,0,1,1,1,0,0,0,0,0,0,0,1
NF213,NorthFork,377704.1,3963063.25,1160.2,6,10,-8,42.42,45.8,18.3,2.5,13579.6,0.3718,0.3222,0,0,5.2,8.6,313,98,4,126,0.26,0.52,0,1,0,1,1,0,0,0,1,0,0,0,0,1
NF220,NorthFork,377746.55,3963131.83,1174.43,1,11,-16,76.15,13.4,5.1,1.4,12853.1,0.037,0.2873,0.1515,0,4.5,14.3,105,48,5,64,0.34,0.47,0,0,0,1,1,1,0,0,1,0,0,0,0,1
NF41,NorthFork,376460.79,3962385.4,1044.22,6,27,5,161.24,20.8,8.2,1.8,20389.2,0,0.2776,0.4794,0,4.8,10.7,102,63,3,74,0.22,0.46,0,1,0,1,1,1,0,0,1,1,0,0,0,1
NF45,NorthFork,377258.08,3963762.77,1222.15,5,20,9,206.15,31.2,21.6,1.4,14468.6,0.0256,0.74,0,0,5.2,12.9,528,95,3,121,0.44,0.45,1,1,1,0,1,1,1,1,1,1,1,1,0,0
NF46,NorthFork,377416.84,3962730.38,1152.27,12,15,3,107.7,37.2,22.4,1.8,23762.3,0.1787,0.5665,0,0.0111,5.4,10.5,609,112,3,117,0.39,0.44,1,1,1,0,1,1,1,1,1,1,1,1,0,1
NF48,NorthFork,376168.31,3963589.89,1287.25,9,29,23,206.15,25.4,12.9,3.5,15437.2,0.3115,0,0.2152,0,5.2,22.8,969,175,4,130,0.66,0.59,1,1,1,0,1,1,1,0,1,1,1,1,1,0
NF49,NorthFork,377019.42,3963786.92,1245.57,6,19,-1,268.32,31.4,18.4,1.7,13747.1,0.1967,0,0,0,4.6,9.6,124,44,4,67,0.25,0.47,0,1,1,1,1,1,0,0,1,0,1,1,1,1
NF50,NorthFork,376915.24,3964556.1,1484.68,1,24,30,180.27,22.6,15.2,1.8,12259.7,0.0366,0,0,0,4.5,32.8,115,47,4,84,0.49,0.46,0,1,0,0,1,1,0,1,1,0,1,1,1,0
NF51,NorthFork,377120.81,3964315.18,1400.5,1,26,30,237.06,25,18.4,2,22135.5,0.4949,0,0,0,4.6,20.8,196,50,4,82,0.55,0.53,1,1,1,0,1,1,1,1,1,0,1,1,1,0
